Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,asymmetric,0.31,0.4056496849158099
75% Corpus,5,asymmetric,0.61,0.4092109474868151
75% Corpus,5,asymmetric,0.9099999999999999,0.40997528019568347
75% Corpus,5,asymmetric,symmetric,0.35645077685018933
75% Corpus,6,0.01,0.01,0.35120544914228596
75% Corpus,6,0.01,0.31,0.333228850108655
75% Corpus,6,0.01,0.61,0.39871624816673407
75% Corpus,6,0.01,0.9099999999999999,0.414272699677445
75% Corpus,6,0.01,symmetric,0.33621110735065124
75% Corpus,6,0.31,0.01,0.3523199646806303
75% Corpus,6,0.31,0.31,0.36654095146307836
75% Corpus,6,0.31,0.61,0.40251606087365155
75% Corpus,6,0.31,0.9099999999999999,0.44837148213763484
75% Corpus,6,0.31,symmetric,0.3549468378413428
75% Corpus,6,0.61,0.01,0.3710448445690457
75% Corpus,6,0.61,0.31,0.3789261938034006
75% Corpus,6,0.61,0.61,0.4177204605842398
75% Corpus,6,0.61,0.9099999999999999,0.42039657542567843
75% Corpus,6,0.61,symmetric,0.3662165735239946
75% Corpus,6,0.9099999999999999,0.01,0.3782830745375894
75% Corpus,6,0.9099999999999999,0.31,0.3512387174643971
75% Corpus,6,0.9099999999999999,0.61,0.37934099398594706
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.35996034844106495
75% Corpus,6,0.9099999999999999,symmetric,0.3581418131452785
75% Corpus,6,symmetric,0.01,0.3393638558882233
75% Corpus,6,symmetric,0.31,0.35256849878877544
75% Corpus,6,symmetric,0.61,0.38942193447143864
75% Corpus,6,symmetric,0.9099999999999999,0.4473309924482754
75% Corpus,6,symmetric,symmetric,0.34696957210126306
75% Corpus,6,asymmetric,0.01,0.37767678359085705
75% Corpus,6,asymmetric,0.31,0.43460597178918525
75% Corpus,6,asymmetric,0.61,0.45637174852968215
75% Corpus,6,asymmetric,0.9099999999999999,0.39512461695820195
75% Corpus,6,asymmetric,symmetric,0.37373594402024607
75% Corpus,7,0.01,0.01,0.3668238364362283
75% Corpus,7,0.01,0.31,0.35503024897931706
75% Corpus,7,0.01,0.61,0.3818358959600082
75% Corpus,7,0.01,0.9099999999999999,0.3862441422913866
75% Corpus,7,0.01,symmetric,0.366914243842199
75% Corpus,7,0.31,0.01,0.34300205486390295
75% Corpus,7,0.31,0.31,0.37692087143119213
75% Corpus,7,0.31,0.61,0.421595061389396
75% Corpus,7,0.31,0.9099999999999999,0.4314491914017168
75% Corpus,7,0.31,symmetric,0.3431308797818535
75% Corpus,7,0.61,0.01,0.3656762917450672
75% Corpus,7,0.61,0.31,0.3846703686898253
75% Corpus,7,0.61,0.61,0.36673230291672
75% Corpus,7,0.61,0.9099999999999999,0.4073608947875697
75% Corpus,7,0.61,symmetric,0.3619085803782509
75% Corpus,7,0.9099999999999999,0.01,0.3636607144685569
75% Corpus,7,0.9099999999999999,0.31,0.3641849072688493
75% Corpus,7,0.9099999999999999,0.61,0.35103880128483583
