Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.40015766607375114
100% Corpus,9,0.31,0.9099999999999999,0.4493103898982746
100% Corpus,9,0.31,symmetric,0.3704626075091864
100% Corpus,9,0.61,0.01,0.3693839983240069
100% Corpus,9,0.61,0.31,0.3783097021893764
100% Corpus,9,0.61,0.61,0.38923335193585684
100% Corpus,9,0.61,0.9099999999999999,0.3986043800253713
100% Corpus,9,0.61,symmetric,0.36462701809576287
100% Corpus,9,0.9099999999999999,0.01,0.3690779310614965
100% Corpus,9,0.9099999999999999,0.31,0.36226113603973054
100% Corpus,9,0.9099999999999999,0.61,0.34202630534935696
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3623910339630483
100% Corpus,9,0.9099999999999999,symmetric,0.3618236363256501
100% Corpus,9,symmetric,0.01,0.36281397284514844
100% Corpus,9,symmetric,0.31,0.37847717979990764
100% Corpus,9,symmetric,0.61,0.3955721879354503
100% Corpus,9,symmetric,0.9099999999999999,0.4264479629143847
100% Corpus,9,symmetric,symmetric,0.38270910267850605
100% Corpus,9,asymmetric,0.01,0.3591734606334215
100% Corpus,9,asymmetric,0.31,0.35432938845306833
100% Corpus,9,asymmetric,0.61,0.38531925206656914
100% Corpus,9,asymmetric,0.9099999999999999,0.46398726595325646
100% Corpus,9,asymmetric,symmetric,0.3804120206846867
100% Corpus,10,0.01,0.01,0.34473068540827195
100% Corpus,10,0.01,0.31,0.3677410697195836
100% Corpus,10,0.01,0.61,0.37582937640139524
100% Corpus,10,0.01,0.9099999999999999,0.40836235933149795
100% Corpus,10,0.01,symmetric,0.3584158996402522
100% Corpus,10,0.31,0.01,0.36737521093098957
100% Corpus,10,0.31,0.31,0.39664837587709706
100% Corpus,10,0.31,0.61,0.4161827564856434
100% Corpus,10,0.31,0.9099999999999999,0.4216708492552358
100% Corpus,10,0.31,symmetric,0.37853015019155645
100% Corpus,10,0.61,0.01,0.35737530430529346
100% Corpus,10,0.61,0.31,0.3995061522567001
100% Corpus,10,0.61,0.61,0.4132612604310064
100% Corpus,10,0.61,0.9099999999999999,0.41287116572487526
100% Corpus,10,0.61,symmetric,0.36781813964489296
100% Corpus,10,0.9099999999999999,0.01,0.3632506201049866
100% Corpus,10,0.9099999999999999,0.31,0.36816213922529534
100% Corpus,10,0.9099999999999999,0.61,0.38739572573649433
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.36013013672198874
100% Corpus,10,0.9099999999999999,symmetric,0.36596127479235857
100% Corpus,10,symmetric,0.01,0.3626318441351638
100% Corpus,10,symmetric,0.31,0.36300421638189867
100% Corpus,10,symmetric,0.61,0.40143922984208535
100% Corpus,10,symmetric,0.9099999999999999,0.3975320483491542
100% Corpus,10,symmetric,symmetric,0.35245715057639343
100% Corpus,10,asymmetric,0.01,0.35656650079785385
100% Corpus,10,asymmetric,0.31,0.3839476503055915
100% Corpus,10,asymmetric,0.61,0.40181265607494004
100% Corpus,10,asymmetric,0.9099999999999999,0.4853468018893735
100% Corpus,10,asymmetric,symmetric,0.33656036490157204
